Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,11500,7,0,341,22.93,0.000%,129.85253,205.18,14.96,1618.0
TOTAL,11500,7,0,341,22.93,0.000%,129.85253,205.18,14.96,1618.0
