Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,4500,4,0,212,17.85,0.000%,142.91612,225.82,16.47,1618.0
TOTAL,4500,4,0,212,17.85,0.000%,142.91612,225.82,16.47,1618.0
